id,name,team,pastTeams,role,battingHand,jerseyNo,debutYear,auctionPrice,matches,playerLink
1,Ruturaj Gaikwad,CSK,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380
2,Dewald Brevis,CSK,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/dewald-brevis-1070665
3,MS Dhoni,CSK,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/ms-dhoni-28081
4,Kartik Sharma,CSK,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/kartik-sharma-1459392
5,Sarfaraz Khan,CSK,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/sarfaraz-khan-642525
6,Ayush Mhatre,CSK,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/ayush-mhatre-1452455
7,Urvil Patel,CSK,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/urvil-patel-1131570
8,Sanju Samson,CSK,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/sanju-samson-425943
9,Aman Khan,CSK,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/aman-khan-1254269
10,Shivam Dube,CSK,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/shivam-dube-714451
11,Zak Foulkes,CSK,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/zak-foulkes-1202098
12,Ramakrishna Ghosh,CSK,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/ramakrishna-ghosh-1339053
13,Anshul Kamboj,CSK,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
14,Jamie Overton,CSK,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/jamie-overton-510530
15,Matthew Short,CSK,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/matthew-short-605575
16,Prashant Veer,CSK,,Bowling Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/prashant-veer-1403197
17,Khaleel Ahmed,CSK,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
18,Rahul Chahar,CSK,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812
19,Shreyas Gopal,CSK,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580
20,Gurjapneet Singh,CSK,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/gurjapneet-singh-1269869
21,Matt Henry,CSK,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/matt-henry-506612
22,Akeal Hosein,CSK,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/akeal-hosein-530812
23,Spencer Johnson,CSK,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/spencer-johnson-1123718
24,Mukesh Choudhary,CSK,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/mukesh-choudhary-1125688
25,Noor Ahmad,CSK,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529
26,Nathan Ellis,CSK,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/nathan-ellis-826915
1,Abishek Porel,DC,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
2,David Miller,DC,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/david-miller-321777
3,Karun Nair,DC,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/karun-nair-398439
4,Pathum Nissanka,DC,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655
5,Sahil Parakh,DC,,Top order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/sahil-parakh-1451028
6,KL Rahul,DC,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/kl-rahul-422108
7,Nitish Rana,DC,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/nitish-rana-604527
8,Prithvi Shaw,DC,,Opening Batter,Right,,,,,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168
9,Tristan Stubbs,DC,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
10,Ben Duckett,DC,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/ben-duckett-521637
11,Axar Patel,DC,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/axar-patel-554691
12,Ajay Mandal,DC,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/ajay-mandal-1059570
13,Sameer Rizvi,DC,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/sameer-rizvi-1175489
14,Ashutosh Sharma,DC,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/ashutosh-sharma-1131978
15,Madhav Tiwari,DC,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/madhav-tiwari-1460385
16,Auqib Nabi,DC,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/auqib-nabi-1159732
17,Dushmantha Chameera,DC,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152
18,Kyle Jamieson,DC,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/kyle-jamieson-625960
19,Kuldeep Yadav,DC,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
20,Mukesh Kumar,DC,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
21,T Natarajan,DC,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/t-natarajan-802575
22,Lungi Ngidi,DC,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023
23,Vipraj Nigam,DC,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/vipraj-nigam-1449074
24,Mitchell Starc,DC,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/mitchell-starc-311592
25,Tripurana Vijay,DC,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/tripurana-vijay-1292527
1,Shubman Gill,GT,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/shubman-gill-1070173
2,Anuj Rawat,GT,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
3,Tom Banton,GT,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/tom-banton-877051
4,Jos Buttler,GT,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/jos-buttler-308967
5,Kumar Kushagra,GT,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/kumar-kushagra-1207295
6,Sai Sudharsan,GT,,Top order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/sai-sudharsan-1151288
7,M Shahrukh Khan,GT,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/m-shahrukh-khan-719719
8,Jason Holder,GT,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/jason-holder-391485
9,Glenn Phillips,GT,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
10,Rashid Khan,GT,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/rashid-khan-793463
11,Nishant Sindhu,GT,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/nishant-sindhu-1292506
12,Manav Suthar,GT,,Bowling Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/manav-suthar-1175426
13,Rahul Tewatia,GT,,Bowling Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838
14,Washington Sundar,GT,,Bowling Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/washington-sundar-719715
15,Arshad Khan,GT,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/arshad-khan-1244751
16,Ashok Sharma,GT,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/ashok-sharma-1299879
17,Gurnoor Brar,GT,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/gurnoor-brar-1287033
18,Kulwant Khejroliya,GT,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/kulwant-khejroliya-1083033
19,Mohammed Siraj,GT,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973
20,Prasidh Krishna,GT,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/prasidh-krishna-917159
21,Kagiso Rabada,GT,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
22,Sai Kishore,GT,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/sai-kishore-1048739
23,Ishant Sharma,GT,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/ishant-sharma-236779
24,Luke Wood,GT,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/luke-wood-573170
25,Jayant Yadav,GT,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/jayant-yadav-447587
26,Prithvi Raj,GT,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/prithvi-raj-1121579
1,Ajinkya Rahane,KKR,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916
2,Rinku Singh,KKR,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/rinku-singh-723105
3,Finn Allen,KKR,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/finn-allen-959759
4,Tejasvi Dahiya,KKR,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/tejasvi-dahiya-1460372
5,Manish Pandey,KKR,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/manish-pandey-290630
6,Rovman Powell,KKR,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/rovman-powell-820351
7,Angkrish Raghuvanshi,KKR,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/angkrish-raghuvanshi-1292495
8,Ramandeep Singh,KKR,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/ramandeep-singh-1079470
9,Sarthak Ranjan,KKR,,Opening Batter,Right,,,,,https://www.espncricinfo.com/cricketers/sarthak-ranjan-956405
10,Tim Seifert,KKR,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/tim-seifert-625964
11,Rahul Tripathi,KKR,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763
12,Daksh Kamra,KKR,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/daksh-kamra-1515048
13,Cameron Green,KKR,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/cameron-green-1076713
14,Sunil Narine,KKR,,Bowling Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/sunil-narine-230558
15,Rachin Ravindra,KKR,,Batting Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767
16,Anukul Roy,KKR,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/anukul-roy-1079839
17,Vaibhav Arora,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/vaibhav-arora-1209292
18,Saurabh Dubey,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/saurabh-dubey-1206492
19,Kartik Tyagi,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/kartik-tyagi-1122918
20,Blessing Muzarabani,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051
21,Matheesha Pathirana,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795
22,Navdeep Saini,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/navdeep-saini-700167
23,Prashant Solanki,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/prashant-solanki-1252337
24,Umran Malik,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/umran-malik-1246528
25,Varun Chakravarthy,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375
26,Akash Deep,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/akash-deep-1176959
27,Harshit Rana,KKR,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/harshit-rana-1312645
28,Mustafizur Rahman,KKR,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
1,Rishabh Pant,LSG,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/rishabh-pant-931581
2,Abdul Samad,LSG,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
3,Akshat Raghuwanshi,LSG,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/akshat-raghuwanshi-1300795
4,Ayush Badoni,LSG,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
5,Matthew Breetzke,LSG,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/matthew-breetzke-595267
6,Mukul Choudhary,LSG,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/mukul-choudhary-1354217
7,Himmat Singh,LSG,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/himmat-singh-805235
8,Josh Inglis,LSG,,Wicketkeeper Batter,Right,,,,,https://www.espncricinfo.com/cricketers/josh-inglis-662235
9,Aiden Markram,LSG,,Middle order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/aiden-markram-600498
10,Nicholas Pooran,LSG,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302
11,Wanindu Hasaranga,LSG,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
12,Arshin Kulkarni,LSG,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/arshin-kulkarni-1403153
13,Mitchell Marsh,LSG,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
14,Shahbaz Ahmed,LSG,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711
15,Akash Singh,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/akash-singh-1175458
16,Avesh Khan,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/avesh-khan-694211
17,Mohammed Shami,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/mohammed-shami-481896
18,Mohsin Khan,LSG,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005
19,Anrich Nortje,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
20,Prince Yadav,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/prince-yadav-1350768
21,Digvesh Rathi,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/digvesh-rathi-1460529
22,Manimaran Siddharth,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/manimaran-siddharth-1151286
23,Arjun Tendulkar,LSG,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/arjun-tendulkar-1148776
